,_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_created_by,_updated_by,_index,_geometry,_latitude,_longitude,_changeset_id,_created_duration,_updated_duration,_edited_duration,name_of_the_store,entering_the_store,number_of_customers_in_store,number_of_suppliers_in_store,picture_cargo_being_delivered,picture_cargo_being_delivered_captions,picture_cargo_being_delivered_urls,number_of_cases_boxes_delivered,trolley_in_use,leaving_the_store
2,634bbd94-8159-4733-973a-36ab89fb95d4,cbaab095-ad31-4145-804b-ddc218681802,cbaab095-ad31-4145-804b-ddc218681802,Super deux,1,2022-11-12 16:43:26 UTC,2022-11-12 16:45:00 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.232677 19.0517402),19.0517402,-98.232677,e4868227-703c-4c41-b9fe-31fad435c1f9,25,61,86,Super deux,10:35,0,1,https://web.fulcrumapp.com/photos/view?photos=23de48ff-9c14-4965-a13b-edc1fd853de8,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=23de48ff-9c14-4965-a13b-edc1fd853de8&type=photo&expires=1668469950&signature=S7JLSbdPZWU90i8mzUNNxXliPiqYmfcd1gCIo9r7bp4%3D,12,no,10:50
3,cf8e05ea-0af9-4a66-9d8b-27c0cf572236,68b5ecad-36b0-4172-b2b3-43aebd0485ec,68b5ecad-36b0-4172-b2b3-43aebd0485ec,Dansk,1,2022-11-12 16:37:55 UTC,2022-11-12 16:38:54 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2339909 19.0529905),19.0529905,-98.2339909,644c5a56-bd04-4959-afc3-017fbb7112e6,41,7,48,Dansk,10:22,0,1,https://web.fulcrumapp.com/photos/view?photos=81665316-79d4-482f-9ae5-196bf5391de8,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=81665316-79d4-482f-9ae5-196bf5391de8&type=photo&expires=1668469950&signature=KqUIzMGYNsGC6L6df3d3fg5T%2BeQk3joiI8dhucHtmeo%3D,3,no,10:43
4,a1ff05ef-fe15-472e-ad6d-537c951afce4,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,3b19bb47-17f0-4d33-aa27-cf6890bacfe5,Ink Factory,1,2022-11-12 16:19:57 UTC,2022-11-12 16:21:14 UTC,Juan Carlos Bejarano Moreno,Juan Carlos Bejarano Moreno,0,SRID=4326;POINT(-98.2301302 19.0553894),19.0553894,-98.2301302,de88df96-b59b-4aca-bb27-5817dd9ddda0,76,76,76,Ink Factory,10:13,0,1,https://web.fulcrumapp.com/photos/view?photos=9aa55a18-ba9f-43a2-9a89-e136c5a186b3,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=9aa55a18-ba9f-43a2-9a89-e136c5a186b3&type=photo&expires=1668469950&signature=bk2mE9wB2U9HCPJzxqlHVuXgzfgl6CNRDOFEMW%2Fc5Gs%3D,1,yes,10:33
6,531eb119-cab7-4ba9-8a25-489e91ec2a5a,3aa26fc8-4373-4387-ac50-4f7b0d417107,3aa26fc8-4373-4387-ac50-4f7b0d417107,Abarrotes vinos y licores La ranita ,1,2022-11-10 18:31:16 UTC,2022-11-11 01:23:59 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.20348740564492 19.04590290506943),19.04590291,-98.20348741,0348df3f-5259-4d89-a718-46c32bd656f0,0,8,8,Abarrotes vinos y licores La ranita ,12:29,1,1,sin_fuente,",",no_existe_fuente,3,no,12:33
7,17995e32-9ed3-4a27-8da3-b4e1d942ad36,5288fd44-2899-4765-9195-3f866d2e6d45,5288fd44-2899-4765-9195-3f866d2e6d45,Abarrotes vinos y licores La ranita ,1,2022-11-11 04:30:19 UTC,2022-11-11 05:27:33 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.20328097193406 19.02348801265978),19.02348801,-98.20328097,eeddf981-d881-474d-b3a4-154d38765c43,0,4,4,Abarrotes vinos y licores La ranita ,12:56,2,1,sin_fuente,",",no_existe_fuente,3,no,13:01
8,009bf340-321a-4739-84b4-d80029770d10,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,d1662ccd-4787-4c38-969a-a9e8a01ad1c2,Mony,1,2022-11-11 22:44:44 UTC,2022-11-11 22:46:40 UTC,Sandra Carreón,Sandra Carreón,0,SRID=4326;POINT(-98.19369792680496 19.046458906552267),19.04645891,-98.19369793,9f1c577d-d44e-46c7-a12c-b8eb349ecf48,0,116,116,Mony,16:28,2,1,sin_fuente,",",no_existe_fuente,2,no,16:28
13,044b47df-e630-4ca7-ac15-2ba322760aae,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,e3de2e0f-79f4-4698-a6e4-064aa921a5fb,Gaspachos Morelianos,1,2022-11-10 17:35:22 UTC,2022-11-10 17:36:41 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.27405971141629 18.999429285141723),18.99942929,-98.27405971,e6356adb-d00a-4884-bf1c-ba51ad541c69,0,78,78,Gaspachos Morelianos,11:35,1,3,https://web.fulcrumapp.com/photos/view?photos=d131f96e-7cd0-421a-95b5-3fa6b8bad3dd,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=d131f96e-7cd0-421a-95b5-3fa6b8bad3dd&type=photo&expires=1668469950&signature=pYLjGJ66CCKfdw94P5CxcBNsbrPB6KSdV3T3Dxobwt4%3D,8,no,11:55
14,98e21e5a-b7cc-4314-813e-b4cd016fbe67,75037107-c676-446a-ba1d-ab04881a6f67,75037107-c676-446a-ba1d-ab04881a6f67,Factory Blinds ,1,2022-11-10 17:35:17 UTC,2022-11-10 17:36:04 UTC,José López,José López,0,SRID=4326;POINT(-98.27407890055497 18.9994257134666),18.99942571,-98.2740789,d12e4521-9723-4771-b5b2-b7cb56cf53e4,0,46,46,Factory Blinds ,11:35,2,1,https://web.fulcrumapp.com/photos/view?photos=314ac6b1-4d10-41d0-9166-069930e4d803,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=314ac6b1-4d10-41d0-9166-069930e4d803&type=photo&expires=1668469950&signature=kAtIySOTTnZHvgqHME4EodEEWl0%2Fe7hOt35W67IBjAo%3D,2,no,11:40
16,83fd3b7d-52b4-45d0-8f25-df98b6229aed,1464422d-78c5-4cfa-afa6-5bf569e882d2,1464422d-78c5-4cfa-afa6-5bf569e882d2,Postrecitos lindos ,1,2022-11-10 17:21:02 UTC,2022-11-10 17:21:59 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.2656817442499 19.006137038597203),19.00613704,-98.26568174,d834689b-b029-41ea-874a-786e6deb0bfe,0,56,56,Postrecitos lindos ,11:30,0,2,sin_fuente,",",no_existe_fuente,6,yes,11:38
17,e45b69e0-5250-403b-a1f4-54daf1427ff8,98008626-eea4-4f9a-ab80-de6e7c716207,98008626-eea4-4f9a-ab80-de6e7c716207,Stop by ramen ,1,2022-11-10 17:20:56 UTC,2022-11-10 17:21:37 UTC,José López,José López,0,SRID=4326;POINT(-98.26567025179664 19.006115003328492),19.006115,-98.26567025,81f1dcc0-9892-425f-a42c-bc9d3827524e,0,41,41,Stop by ramen ,11:21,0,1,https://web.fulcrumapp.com/photos/view?photos=6b7a1efa-8b72-446f-b276-2b21e185e51a,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=6b7a1efa-8b72-446f-b276-2b21e185e51a&type=photo&expires=1668469950&signature=HTFdlO4RIo2vN59%2FYMq5nS3IckiCb6jLGtIZkWYtXZY%3D,2,no,11:30
18,7c0e3d41-b490-4940-8286-15fa3d8a5726,897dd608-be28-4337-b503-5dc70df1e2de,897dd608-be28-4337-b503-5dc70df1e2de,Súper boom,1,2022-11-10 17:11:09 UTC,2022-11-10 17:11:51 UTC,José López,José López,0,SRID=4326;POINT(-98.2665018576936 19.004100753684952),19.00410075,-98.26650186,2b18d917-7c1f-4e63-aa12-88f19203e347,0,41,41,Súper boom,11:11,3,1,https://web.fulcrumapp.com/photos/view?photos=35300f8d-7977-417c-8aab-762366d83ff0,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=35300f8d-7977-417c-8aab-762366d83ff0&type=photo&expires=1668469950&signature=7rWRMKNyLYFxzrQ5XlWyfV%2FUGwjuozvxR8Y3WlXr1uU%3D,4,no,11:14
19,1788e007-9b6b-4cc4-aaf7-35d1b8143f32,f9dd984b-722a-4c26-aaef-d8ad2dff57b6,f9dd984b-722a-4c26-aaef-d8ad2dff57b6,Trípoli ,1,2022-11-10 17:05:04 UTC,2022-11-10 17:06:25 UTC,José López,José López,0,SRID=4326;POINT(-98.2664907961389 19.004110110773915),19.00411011,-98.2664908,0d676fa7-0527-46e4-9804-7e22bbd87474,0,81,81,Trípoli ,10:43,2,1,https://web.fulcrumapp.com/photos/view?photos=0ca0bc05-71fd-4177-a89f-853bbb1ea72d,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=0ca0bc05-71fd-4177-a89f-853bbb1ea72d&type=photo&expires=1668469950&signature=g8I0bskRB%2B7JXioAKArKVdz7fMds0cYObsu7fHecogk%3D,2,no,11:56
20,c98cae40-7553-4755-a0f8-a51fbe275d12,94b03890-ef1b-4e87-bf0d-42bb64babb73,94b03890-ef1b-4e87-bf0d-42bb64babb73,La Medina,1,2022-11-10 17:01:02 UTC,2022-11-10 17:02:19 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26618774968892 19.004502868441776),19.00450287,-98.26618775,1969525e-6664-4d85-b504-68e8e7235f31,0,76,76,La Medina,11:08,4,3,https://web.fulcrumapp.com/photos/view?photos=1c13931e-56d1-4568-a60e-9467d8406ff8,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=1c13931e-56d1-4568-a60e-9467d8406ff8&type=photo&expires=1668469950&signature=Mb1ht5pai81RBX1GXo8%2FubcQrabr1csXl4L%2BDLQKuSo%3D,6,no,11:25
21,348702bf-ec37-436e-ba06-fe8e54abab13,0494e54e-1037-4788-9e37-b6bab949011b,0494e54e-1037-4788-9e37-b6bab949011b,Súper boom ,1,2022-11-10 17:00:44 UTC,2022-11-10 17:01:25 UTC,José López,José López,0,SRID=4326;POINT(-98.26620398606103 19.004480731987954),19.00448073,-98.26620399,abb539b2-d33a-4b9c-a51e-fcaff8ff47f5,0,40,40,Súper boom ,11:00,4,2,https://web.fulcrumapp.com/photos/view?photos=d7b48f57-477f-473f-b031-3e67cd1b5936,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=d7b48f57-477f-473f-b031-3e67cd1b5936&type=photo&expires=1668469950&signature=kc1FsTBG6xX5SFLaPo8P%2By%2BXnShu6PFXErlAUyIN8ww%3D,5,yes,11:20
22,383c55fc-f202-4a79-9425-eb7122d5e5e3,49b79862-d297-4391-bc6e-3e6d8b32d54a,49b79862-d297-4391-bc6e-3e6d8b32d54a,La Voila ,1,2022-11-10 16:47:11 UTC,2022-11-10 16:48:20 UTC,José López,José López,0,SRID=4326;POINT(-98.27483802479486 18.999598295169204),18.9995983,-98.27483802,daf03321-dd07-47fc-9f3f-dfc6b098d7ab,0,68,68,La Voila ,10:47,0,1,https://web.fulcrumapp.com/photos/view?photos=dbe1e74e-4a9f-4c4e-bd33-3e8d6d287311,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=dbe1e74e-4a9f-4c4e-bd33-3e8d6d287311&type=photo&expires=1668469950&signature=wz1KUm%2FisrjGv43gxzCKI9wMMfmpqiY4LzQgN2fefC0%3D,2,no,11:02
23,9b280ed5-61df-497d-8f64-7b847a08e0ea,be7db0e0-83ad-4486-aa8f-7d31402c2b92,be7db0e0-83ad-4486-aa8f-7d31402c2b92,Abastessen,1,2022-11-10 16:37:01 UTC,2022-11-10 16:38:01 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.27189571866822 19.00184227420202),19.00184227,-98.27189572,fecc2c99-9ba7-4af4-9e52-a943e0528b04,0,60,60,Abastessen,10:50,0,2,https://web.fulcrumapp.com/photos/view?photos=c33cb948-cdff-4b7c-83b7-319d9482b855,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=c33cb948-cdff-4b7c-83b7-319d9482b855&type=photo&expires=1668469950&signature=nLdhEswCVxmyl0DfGLdlNaWDsc97VB7XY1d1uYAqOkM%3D,5,yes,11:10
24,17b5c8ed-6501-43bc-b16f-5008cdeb95d7,27bd6132-61df-496d-b780-9db89359dfc8,27bd6132-61df-496d-b780-9db89359dfc8,La central ,1,2022-11-10 16:36:26 UTC,2022-11-10 16:37:10 UTC,José López,José López,0,SRID=4326;POINT(-98.27208717829416 19.00173048036127),19.00173048,-98.27208718,4d56086b-ac55-40e9-93f9-bfce5910928d,0,43,43,La central ,10:35,2,1,https://web.fulcrumapp.com/photos/view?photos=e659eb18-f313-4c1f-b81d-45376cadb617,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=e659eb18-f313-4c1f-b81d-45376cadb617&type=photo&expires=1668469950&signature=TctmoJnr8K8gnl9hvD9beGfpPDzZ8FDE7%2BYoOOWQqxo%3D,2,no,11:00
25,1143e8d5-91ca-4d13-9a25-6f1b728bb91b,e648abf8-df90-46a2-af06-ee5d9662078d,e648abf8-df90-46a2-af06-ee5d9662078d,Súper Boom,1,2022-11-10 16:23:43 UTC,2022-11-10 16:25:17 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26648594336065 19.005120083105336),19.00512008,-98.26648594,7032587e-d42b-402d-84b1-bf5341809da6,0,94,94,Súper Boom,10:32,1,2,https://web.fulcrumapp.com/photos/view?photos=fe6466c3-efd0-43ef-bdc3-c710bce8cd91,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=fe6466c3-efd0-43ef-bdc3-c710bce8cd91&type=photo&expires=1668469950&signature=T030BagSoYkWHkRkResbJwyza%2F5zEYEywuu0SJ%2FzdNk%3D,3,no,10:46
26,b0f64dbe-1ef5-415a-a91a-c470c255b68d,cfb746bd-5e38-4361-9f45-be1af04f11da,cfb746bd-5e38-4361-9f45-be1af04f11da,Tripoli ,1,2022-11-10 16:18:50 UTC,2022-11-10 16:19:47 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,0,SRID=4326;POINT(-98.26759626535545 19.00565243339718),19.00565243,-98.26759627,7c3ec9bd-d014-468c-8bad-0a6c7588dd9f,0,57,57,Tripoli ,09:32,0,2,https://web.fulcrumapp.com/photos/view?photos=12143632-85df-42e1-9eba-c8e5dce5f04e,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=12143632-85df-42e1-9eba-c8e5dce5f04e&type=photo&expires=1668469950&signature=41vBeq52vMdUkuqz94pXH7jgtKSQx8GQ%2Fmq5ET%2B9hIU%3D,4,no,10:11
27,f1c82664-47a4-480f-a242-bfa2d81c0d07,a626a0df-ca03-4bc9-b0c7-9d1df43daafa,a626a0df-ca03-4bc9-b0c7-9d1df43daafa,Nussett,1,2022-11-10 16:14:35 UTC,2022-11-10 16:16:12 UTC,José López,José López,0,SRID=4326;POINT(-98.26761701153431 19.005691981889438),19.00569198,-98.26761701,8ac023b6-3ac2-4286-98c5-60bf31e2d644,0,97,97,Nussett,10:14,0,1,https://web.fulcrumapp.com/photos/view?photos=83b0b9a0-4f5c-4f42-9df8-60a9d8ab1a86,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=83b0b9a0-4f5c-4f42-9df8-60a9d8ab1a86&type=photo&expires=1668469950&signature=Op1i4YCe6zisywFwb5etkPvqE2B0PPRAUc3YcjXiz58%3D,4,no,10:30
28,613cb0b4-7aa9-478b-a8bd-f80b31ff18e4,119a1eaf-2d72-4792-94dd-23451e9daaec,119a1eaf-2d72-4792-94dd-23451e9daaec,Tamales Don Ignacio ,1,2022-11-10 15:39:35 UTC,2022-11-10 15:41:17 UTC,José López,José López,0,SRID=4326;POINT(-98.26677136261554 19.00407882201115),19.00407882,-98.26677136,d694602e-4c1b-41a4-9a3c-c1153cd630b0,0,2,2,Tamales Don Ignacio ,09:40,1,0,https://web.fulcrumapp.com/photos/view?photos=ca85075d-445c-460f-8578-2668d5bdea03,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=ca85075d-445c-460f-8578-2668d5bdea03&type=photo&expires=1668469950&signature=%2BLbRS1S9Gej0HplqqSjG4gHNKXwG5tLQbKPlVeYaB2w%3D,2,no,09:57
31,871dc2b3-f27e-47c9-9e8e-cdc64650cd6c,1c566bed-bbc4-47a7-88d2-8d00dc535bcf,1c566bed-bbc4-47a7-88d2-8d00dc535bcf,Tecate ,1,2022-11-09 20:51:52 UTC,2022-11-09 20:58:07 UTC,Luis Lara,Luis Lara,0,SRID=4326;POINT(-98.24979091394776 19.030838541783446),19.03083854,-98.24979091,cd5bc001-6630-4f06-aede-39db2c0e7346,0,1,1,Tecate ,14:52,1,2,https://web.fulcrumapp.com/photos/view?photos=99bad4b0-542f-4dcf-8d87-2d35ef2bcbd9,",",https://web.fulcrumapp.com/api/v2/file?context=fcbcb555-eb79-4ab2-aeb3-a6428c0f421d&id=99bad4b0-542f-4dcf-8d87-2d35ef2bcbd9&type=photo&expires=1668469950&signature=kor2puaRE3GfADcfldy05PRg%2B6eUrHW23g24e%2FcUNZg%3D,5,no,14:58
34,dd49ed79-b980-462e-98e7-d7abd6c1cbb4,ae8ea7eb-e3f3-4d44-926e-6205f04cf6e5,ae8ea7eb-e3f3-4d44-926e-6205f04cf6e5,Six,1,2022-11-09 18:01:35 UTC,2022-11-09 18:02:38 UTC,Diego Galicia Lugo,Diego Galicia Lugo,0,SRID=4326;POINT(-100.27416228457146 25.60954603437569),25.60954603,-100.2741623,43d78fa4-b706-4a98-80a0-3643fad22ee5,0,62,62,Six,11:47,0,1,sin_fuente,",",no_existe_fuente,1,no,11:50
